SID,Year,OS_ID,OS_Name,Site_ID,Material,total,legal,sublegal,spat,non_spat,Collection.Method,Sample.Method,Latitude,Longitude,Deployment.Year,Deployment.Month,Material_Age,Oyster.Cover,Mussel_Cover,Sedimentation,Boring_Sponge,Sample_Depth,OS.Depth,Relief,S.DO,B.DO,S.Sal,B.Sal,S.Temp,B.Temp
2019-8-20-OS-01-1,2019,1,Croatan Sound,1,Reef Ball,0,0,0,0,,Observation,Quantiles,35.80348333,-75.63948333,2013,12,5.7,0,2,1,0,3.3528,3.3528,0,6.9,6.7,13.2,13.7,29.2,28
2019-8-20-OS-01-2,2019,1,Croatan Sound,2,Reef Ball,0,0,0,0,0,Observation,Quantiles,35.80351667,-75.6395,2013,12,5.7,0,2,2,0,3.3528,3.3528,0,6.9,6.7,13.2,13.7,29.2,28
2019-8-20-OS-01-3,2019,1,Croatan Sound,3,Reef Ball,0,0,0,0,0,Observation,Quantiles,35.80365,-75.63963333,2013,12,5.7,1,2,1,0,3.3528,3.3528,0,6.9,6.7,13.2,13.7,29.2,28
2019-8-27-OS-02-1,2019,2,Deep Bay,1,Reef Ball,0,0,0,0,0,Observation,Quantiles,35.38056667,-76.37153333,2014,11,4.8,0,2,2,0,2.4384,2.4384,0,6.8,6.9,18.7,18.9,26.2,26.1
2019-8-27-OS-02-2,2019,2,Deep Bay,2,Reef Ball,0,0,0,0,0,Observation,Quantiles,35.38061667,-76.37185,2014,11,4.8,0,2,2,0,2.4384,2.4384,0,6.8,6.9,18.7,18.9,26.2,26.1
2019-8-27-OS-02-3,2019,2,Deep Bay,3,Reef Ball,0,0,0,0,0,Observation,Quantiles,35.38036667,-76.37085,2014,11,4.8,0,2,2,0,2.4384,2.4384,0,6.8,6.9,18.7,18.9,26.2,26.1
2019-8-1-OS-14-10,2019,14,Little Creek,10,Reef Ball,0,0,0,0,0,Observation,Quantiles,35.04356667,-76.516,2016,3,3.4,0,2,1,0,6.4008,6.4008,0,,,,,,
2019-8-1-OS-14-9,2019,14,Little Creek,9,Marl,0,0,0,0,0,Observation,Quantiles,35.04368333,-76.5147,2016,8,3,0,2,1,0,5.1816,6.4008,1.2192,,,,,,
2019-8-1-OS-14-12,2019,14,Little Creek,12,Reef Ball,0,0,0,0,0,Observation,Quantiles,35.04285,-76.51573333,2016,3,3.4,0,2,1,0,4.14528,6.4008,2.25552,,,,,,
2019-8-1-OS-14-11,2019,14,Little Creek,11,Reef Ball,0,0,0,0,0,Observation,Quantiles,35.04321667,-76.51383333,2016,3,3.4,0,2,1,0,,6.4008,,,,,,,
2019-8-1-OS-14-13,2019,14,Little Creek,13,Reef Ball,0,0,0,0,0,Observation,Quantiles,35.0445,-76.51491667,2016,2,3.5,0,2,1,0,,6.4008,,,,,,,
2019-8-1-OS-14-14,2019,14,Little Creek,14,Consolidated Concrete,0,0,0,0,0,Observation,Quantiles,35.0427,-76.51425,2016,3,3.4,0,2,1,0,,6.4008,,,,,,,
2019-8-1-OS-14-15,2019,14,Little Creek,15,Consolidated Concrete,0,0,0,0,0,Observation,Quantiles,35.04351667,-76.51565,2016,2,3.5,0,2,1,0,,6.4008,,,,,,,
2019-8-1-OS-14-17,2019,14,Little Creek,17,Consolidated Concrete,0,0,0,0,0,Observation,Quantiles,35.04375,-76.5157,2016,4,3.3,0,2,1,0,,6.4008,,,,,,,
2019-7-23-OS-14-4,2019,14,Little Creek,4,Granite,4,4,0,0,4,Extraction,Census,35.04456667,-76.51596667,2016,4,3.25,1,4,2,0,6.4008,6.4008,0,,,,,,
2019-7-23-OS-08-3,2019,8,Neuse River,3,Marl,4,0,4,0,4,Extraction,Census,35.00788333,-76.5328,2008,3,11.33,1,4,2,0,3.6576,4.2672,0.6096,,,,,,
2019-8-27-OS-02-6,2019,2,Deep Bay,6,Marl,4,0,4,0,4,Extraction,Census,35.38108333,-76.3704,1996,6,23.17,0,3,3,0,2.4384,2.4384,0,6.8,6.9,18.7,18.9,26.2,26.1
2019-8-7-OS-07-3,2019,7,Middle Bay,3,Marl,4,0,4,0,4,Extraction,Census,35.23555,-76.50356667,2004,8,15,1,2,2,,2.4384,2.4384,0,5.35,5.45,19.3,19.5,28.1,28.7
2019-8-1-OS-14-8,2019,14,Little Creek,8,Marl,4,0,4,0,4,Extraction,Census,35.04371667,-76.51463333,2016,4,3.33,1,4,2,0,5.1816,6.4008,1.2192,,,,,,
2019-7-23-OS-14-2,2019,14,Little Creek,2,Basalt,8,0,8,0,8,Extraction,Census,35.04345,-76.51516667,2016,4,3.25,1,4,2,0,,6.4008,,,,,,,
2019-8-27-OS-02-8,2019,2,Deep Bay,8,Marl,8,0,8,0,8,Extraction,Census,35.3811,-76.3716,2003,6,16.17,1,0,3,0,2.4384,2.4384,0,6.8,6.9,18.7,18.9,26.2,26.1
2019-7-23-OS-14-3,2019,14,Little Creek,3,Basalt,12,0,12,0,12,Extraction,Census,35.04286667,-76.51501667,2016,8,2.92,1,4,2,0,5.4864,6.4008,0.9144,,,,,,
2019-7-23-OS-14-6,2019,14,Little Creek,6,Granite,12,0,12,0,12,Extraction,Census,35.04268333,-76.51378333,2016,9,2.83,1,4,2,0,,6.4008,,,,,,,
2019-8-7-OS-07-1,2019,7,Middle Bay,1,Marl,12,4,8,0,12,Extraction,Census,35.23548333,-76.5034,2004,8,15,1,2,2,,2.4384,2.4384,0,5.35,5.45,19.3,19.5,28.1,28.7
2019-8-27-OS-02-4,2019,2,Deep Bay,4,Marl,16,0,8,8,8,Extraction,Census,35.38071667,-76.37026667,1996,6,23.17,1,3,3,0,2.4384,2.4384,0,6.8,6.9,18.7,18.9,26.2,26.1
2019-8-27-OS-02-10,2019,2,Deep Bay,10,Marl,20,0,8,12,8,Extraction,Census,35.38096667,-76.37153333,2003,6,16.17,1,0,3,0,2.4384,2.4384,0,6.8,6.9,18.7,18.9,26.2,26.1
2019-8-20-OS-01-7,2019,1,Croatan Sound,7,Marl,24,0,20,4,20,Extraction,Census,35.80421667,-75.64016667,1998,8,21,1,2,4,0,3.3528,3.3528,0,6.9,6.7,13.2,13.7,29.2,28
2019-7-23-OS-08-1,2019,8,Neuse River,1,Marl,28,0,24,4,24,Extraction,Census,35.00658333,-76.53358333,2005,4,14.25,1,4,2,0,3.048,4.2672,1.2192,,,,,,
2019-8-20-OS-01-4,2019,1,Croatan Sound,4,Marl,28,0,24,4,24,Extraction,Census,35.80416667,-75.63996667,1998,8,21,1,2,4,0,3.048,3.3528,0.3048,6.9,6.7,13.2,13.7,29.2,28
2019-8-27-OS-02-5,2019,2,Deep Bay,5,Marl,32,4,12,16,16,Extraction,Census,35.3806,-76.3704,1996,6,23.17,1,3,3,0,2.4384,2.4384,0,6.8,6.9,18.7,18.9,26.2,26.1
2019-8-1-OS-14-7,2019,14,Little Creek,7,Marl,32,0,28,4,28,Extraction,Census,35.04308333,-76.51563333,2016,8,3,1,4,2,0,5.4864,6.4008,0.9144,,,,,,
2019-8-7-OS-07-2,2019,7,Middle Bay,2,Marl,40,0,28,12,28,Extraction,Census,35.23555,-76.50316667,2004,8,15,1,2,2,,2.4384,2.4384,0,5.35,5.45,19.3,19.5,28.1,28.7
2019-8-6-OS-03-2,2019,3,West Bay,2,Shell,40,8,28,4,36,Extraction,Census,34.98008333,-76.35693333,2003,5,16.25,1,0,,0,2.1336,2.4384,0.3048,6.7,6.4,25.6,25.7,28.6,28.5
2019-8-27-OS-02-9,2019,2,Deep Bay,9,Marl,44,0,32,12,32,Extraction,Census,35.38096667,-76.37155,2003,6,16.17,1,0,3,0,2.4384,2.4384,0,6.8,6.9,18.7,18.9,26.2,26.1
2019-7-23-OS-14-5,2019,14,Little Creek,5,Granite,48,0,48,0,48,Extraction,Census,35.0427,-76.51403333,2016,8,2.92,1,4,2,0,,6.4008,,,,,,,
